Crop,Water Use (m³/kg),Irrigation Type,Climate,Yield (tons/ha),Water-Saving Practices,Water Pollution (Grey Water) (m³/kg),Soil Type,Water Scarcity,Post-Harvest Processing (Liters/kg),Fertilizer Use (kg/ha),Pesticide Use (kg/ha),Organic Practices,Green Water Use (m³/kg),Blue Water Use (m³/kg),Crop Cycle Duration (days),Harvest Season,Temperature Requirement (°C),Rainfall Requirement (mm/year),CO2 Emission (kg/ha),Land Use (ha/kg),Crop Rotation Practices,Average Farm Size (ha),Processing Water Recycling,Local Market,Export Market,Genetically Modified,Irrigation Efficiency (%),Seed Use (kg/ha),Labor Intensity
Bananas,5557,Drip,Arid,5.14,Efficient Irrigation,716,Loamy,Severe,75,152,23,No,625,7869,350,Spring,36,1230,7.4065657,2.506289824,No,19.66928914,Yes,No,No,No,76,75,Medium
Pumpkins,8024,Flood,Arid,4.44,Mulching,969,Clayey,Severe,142,97,56,No,4825,13018,134,Spring,28,779,3.762096675,4.047654612,Yes,17.23327611,Yes,Yes,No,Yes,94,72,Medium
Grapes,1540,None,Continental,4.01,Crop Cover,437,Sandy,Low,34,266,13,Yes,2994,5625,305,Winter,24,1354,3.081512556,4.210571509,No,19.80126935,Yes,Yes,Yes,Yes,84,16,Low
Plums,826,Flood,Arid,5.08,Mulching,231,Loamy,Low,125,251,48,No,2123,10992,260,Autumn,25,1514,6.402732063,0.64547394,Yes,4.388249856,No,Yes,Yes,No,86,45,Medium
Apples,2104,Sprinkler,Mediterranean,5.83,Mulching,723,Loamy,Severe,187,248,25,No,371,5603,342,Winter,24,1854,1.5803045,2.394148586,Yes,17.18459903,No,No,Yes,Yes,58,80,Medium
Avocados,13086,Sprinkler,Mediterranean,8.02,Crop Cover,342,Loamy,Low,134,197,26,Yes,2856,3521,134,Spring,40,960,9.485942955,2.894685739,No,2.288246325,No,Yes,No,No,53,15,Medium
Potatoes,18391,Drip,Tropical,8.85,Mulching,976,Silty,Severe,198,141,80,No,4671,9467,127,Winter,12,1922,4.5944224,0.67952426,No,7.436846492,No,Yes,Yes,Yes,65,91,Medium
Garlic,14858,Flood,Continental,8.05,Efficient Irrigation,296,Silty,Moderate,11,73,76,Yes,4863,8213,165,Autumn,28,971,5.825637671,1.559845765,Yes,18.02443464,No,No,No,No,88,79,Low
Potatoes,11853,Sprinkler,Semi-arid,8.06,Crop Cover,679,Clayey,Low,62,148,15,Yes,1336,2886,230,Spring,34,975,3.713907292,4.819778098,No,4.412026809,Yes,Yes,Yes,Yes,85,25,Low
Quinoa,14280,Sprinkler,Continental,7.84,Mulching,562,Clayey,Severe,113,180,33,No,2451,9298,193,Winter,27,1462,2.839024278,4.111011694,Yes,17.69050816,No,No,Yes,Yes,53,13,High
Zucchini,7109,Flood,Tropical,2.38,Mulching,708,Clayey,Moderate,147,172,72,Yes,1270,6532,161,Autumn,21,1739,7.191144099,0.820371327,Yes,18.06595698,Yes,No,Yes,No,91,13,High
Beans,7461,Flood,Tropical,1.82,Efficient Irrigation,822,Loamy,Severe,123,146,76,No,2453,9808,257,Winter,23,841,7.959354079,3.614089746,No,8.731170799,No,Yes,Yes,No,52,73,Low
Tomatoes,12573,Flood,Mediterranean,7.95,Mulching,724,Loamy,Severe,105,72,32,No,2108,7121,315,Spring,33,431,3.881231053,3.987621486,Yes,16.52406151,No,No,Yes,No,77,39,Medium
Pumpkins,2202,Sprinkler,Semi-arid,5.67,Crop Cover,283,Loamy,Moderate,19,216,39,Yes,2557,3874,242,Spring,34,1487,2.68785075,0.444822289,No,12.61452966,Yes,Yes,No,Yes,73,99,Low
Apples,4393,Sprinkler,Temperate,9.01,Crop Cover,291,Clayey,Low,155,159,51,No,3917,10407,324,Summer,34,1547,8.540165317,2.212505514,No,16.8494391,Yes,Yes,No,Yes,57,50,High
Cherries,13384,None,Arid,9.39,Efficient Irrigation,139,Loamy,High,109,229,27,Yes,1814,14272,83,Winter,17,1060,8.74677638,1.588510009,No,7.859051103,No,No,No,No,51,54,Medium
Peas,14798,Flood,Continental,4.31,Crop Cover,111,Clayey,Severe,136,141,85,No,3868,13527,276,Autumn,37,698,1.795851731,3.835964278,No,17.84537057,No,Yes,No,No,89,22,High
Soybeans,15810,Sprinkler,Temperate,2.08,Mulching,442,Clayey,Low,15,57,42,Yes,3341,5112,92,Spring,22,1751,1.521874884,3.166584324,Yes,19.33767765,No,Yes,Yes,No,77,67,Medium
Barley,17130,Drip,Mediterranean,6.19,Mulching,857,Clayey,Low,88,237,16,Yes,4774,7411,114,Spring,18,1580,7.453837603,0.233606639,Yes,11.17516488,No,No,Yes,Yes,73,28,Medium
Blueberries,9121,None,Continental,6.59,Mulching,774,Loamy,Low,32,289,97,No,2723,2191,274,Winter,15,971,1.727828222,3.181878266,Yes,6.930719635,Yes,No,Yes,No,95,66,Low
Cotton,11583,Flood,Arid,3.37,Efficient Irrigation,249,Loamy,High,51,206,33,No,3331,3120,186,Spring,19,260,4.394908346,1.583922888,No,7.135147293,Yes,No,No,No,71,60,Medium
Squash,10048,None,Mediterranean,7.45,Mulching,823,Silty,Severe,92,278,23,Yes,4426,14012,162,Winter,17,883,1.36806756,1.533665418,Yes,17.71136488,No,No,No,No,91,35,Low
Peppers,598,Sprinkler,Mediterranean,6.02,Mulching,197,Clayey,Moderate,181,271,11,No,4702,8128,157,Winter,38,570,5.4739313,2.586534872,Yes,4.342074727,Yes,No,Yes,Yes,53,99,Low
Pineapples,9584,Flood,Continental,1.56,Crop Cover,638,Silty,Moderate,130,218,11,Yes,530,7008,132,Summer,12,1119,6.676147964,0.498495907,No,4.433988628,Yes,Yes,Yes,No,89,93,Medium
Broccoli,19932,Flood,Arid,9.76,Mulching,381,Clayey,High,24,300,19,Yes,3673,9444,272,Autumn,23,1896,3.31534613,3.862872204,Yes,6.557524969,Yes,No,Yes,Yes,62,54,Low
Maize,9449,Flood,Continental,1.08,None,551,Loamy,Moderate,191,106,69,No,381,2005,201,Summer,18,1424,5.656022891,3.058105593,Yes,17.77767093,Yes,Yes,Yes,Yes,61,92,High
Lettuce,11629,Sprinkler,Temperate,6.77,Mulching,908,Sandy,Severe,107,64,47,Yes,1307,2755,257,Autumn,20,549,2.2943162,1.711586391,Yes,3.291997434,Yes,No,Yes,Yes,68,56,Low
Squash,3669,Flood,Mediterranean,4.63,Efficient Irrigation,623,Sandy,Low,187,79,81,No,1902,14046,88,Winter,34,1516,2.285464441,2.814820548,Yes,3.121050911,No,No,Yes,Yes,85,26,Low
Potatoes,12752,Flood,Semi-arid,2.01,Mulching,785,Silty,Moderate,150,288,74,Yes,1317,3180,123,Spring,35,796,7.159835819,0.368125121,No,2.897309617,No,Yes,Yes,Yes,64,80,Medium
Peppers,11003,Flood,Tropical,8.15,None,709,Clayey,Moderate,163,102,90,No,697,5194,114,Autumn,13,715,2.912356469,3.233402843,Yes,1.258701871,Yes,No,No,No,56,20,High
Zucchini,11666,None,Continental,2.92,None,164,Sandy,Severe,67,160,54,Yes,3497,12448,94,Spring,18,432,4.722952276,2.041299778,No,8.69467155,Yes,No,No,Yes,78,61,Low
Oranges,14703,Drip,Semi-arid,2.89,Efficient Irrigation,106,Clayey,Low,77,171,72,Yes,4499,2824,93,Autumn,17,792,3.606114042,4.2189207,No,5.485197552,Yes,No,Yes,No,76,55,Low
Pumpkins,10121,None,Mediterranean,6.4,None,601,Clayey,High,156,90,56,Yes,2659,6855,337,Winter,25,1018,8.407075161,0.472908948,Yes,15.94180924,Yes,No,No,No,78,48,Medium
Onions,16423,None,Mediterranean,2.39,Efficient Irrigation,445,Loamy,Moderate,96,188,62,No,1062,10991,104,Winter,21,1480,5.675326475,4.339724396,No,4.082691835,Yes,No,Yes,No,66,74,Medium
Lettuce,11888,Flood,Temperate,4.03,Crop Cover,581,Silty,Severe,47,134,67,Yes,491,14524,219,Winter,37,916,5.502956722,2.513051107,No,1.219091577,Yes,Yes,No,No,76,80,Low
Pumpkins,8021,Drip,Continental,2.51,Mulching,865,Silty,High,123,82,54,Yes,4229,711,320,Winter,23,761,1.630167169,0.500958832,No,4.605792591,Yes,No,No,Yes,56,90,High
Peaches,10356,Drip,Semi-arid,6.41,Mulching,671,Loamy,High,31,237,24,Yes,2819,7011,103,Autumn,26,918,7.106005919,3.34726583,No,1.244439857,No,Yes,No,Yes,85,24,Medium
Rice,1077,Drip,Mediterranean,9.22,Mulching,755,Sandy,Low,112,117,72,No,2896,11058,236,Spring,25,471,8.325441903,0.76940136,No,11.76616555,Yes,No,Yes,No,58,43,Medium
Wheat,13177,Drip,Temperate,4.52,Crop Cover,184,Silty,Low,84,141,52,No,736,4031,87,Spring,26,1784,1.470466543,3.657094075,Yes,11.8101889,Yes,No,Yes,No,57,72,Low
Cotton,9762,Drip,Temperate,3.44,Mulching,811,Sandy,High,61,243,44,No,3643,3728,231,Spring,21,324,4.788243042,4.790464973,No,14.68746789,No,No,No,Yes,57,28,High
Beans,5720,Drip,Semi-arid,1.1,Mulching,991,Silty,Severe,64,270,77,Yes,4281,8348,344,Spring,28,773,1.947136692,1.728596862,No,10.66373042,Yes,Yes,No,No,89,66,High
Carrots,8529,None,Tropical,7.25,None,852,Sandy,Moderate,195,298,75,No,2138,5802,174,Summer,19,242,2.825672897,1.880957588,No,9.126947412,No,Yes,No,Yes,82,75,High
Beans,4340,Sprinkler,Mediterranean,3.3,Efficient Irrigation,420,Silty,Low,121,111,21,Yes,1294,14228,117,Winter,28,1091,8.62505654,0.832564506,No,12.96061171,No,Yes,No,No,72,51,Low
Rice,2257,Flood,Arid,3.02,Mulching,953,Loamy,High,114,75,59,No,1541,2062,161,Spring,34,1393,3.35588512,2.029849693,No,9.553109351,Yes,Yes,Yes,Yes,58,28,Medium
